,Game,Date,T_Rank,B_Rank,T_WL,B_WL,WL_Diff,Rank_Diff,Inning_Pair_ID,Inning,Score,T_Mean_BA,B_Mean_BA,T_Mean_SLG,B_Mean_SLG,T_Mean_OPS,B_Mean_OPS,T_Mean_OPS_Plus,B_Mean_OPS_Plus,T_WHIP,B_WHIP,T_ERA,B_ERA,T_ERA_Plus,B_ERA_Plus,T_State_Out_Combos,B_State_Out_Combos,T_Runs,B_Runs,Run_Diff,Double_Binary_T,Double_Binary_B,Single_Binary_T,Single_Binary_B,F_S_Binary_T,F_S_Binary_B,Triple_Binary_T,Triple_Binary_B,Discrepancy
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,0,1,0-0,0.26333333333333336,0.267,0.4783333333333333,0.4704,0.8096666666666666,0.8086,115.77777777777777,117.4,1.227,1.2670000000000001,4.44,4.19,120.0,123.0,"['0-0', '0-0', '1-0', '1-1', '3-1', '6-1', '7-1', '6-2', '1-2']","['0-0', '1-0', '6-0', '4-1', '4-2']",4,1,3,0,0,1,1,0,0,0,0,1
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,1,2,4-1,0.2795,0.26025,0.45375,0.43475,0.8072499999999999,0.7489999999999999,116.5,102.0,1.227,1.2670000000000001,4.44,4.19,106.0,136.0,"['0-0', '0-1', '0-1', '0-2']","['0-0', '1-0', '3-0', '4-2', '0-2', '1-2', '3-2', '0-2']",1,4,-3,0,0,0,1,0,1,0,0,1
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,2,3,5-5,0.27033333333333337,0.25225000000000003,0.4980000000000001,0.47600000000000003,0.8293333333333334,0.80625,120.33333333333331,115.25,1.227,1.2670000000000001,4.44,4.19,119.0,100.0,"['0-0', '0-1', '0-2']","['0-0', '0-1', '0-2', '2-2']",0,0,0,0,0,0,0,0,0,0,0,0
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,3,4,5-5,0.27177777777777784,0.254,0.4775555555555556,0.39566666666666667,0.8188888888888889,0.7000000000000001,118.66666666666669,89.66666666666669,1.3536666666666666,1.2670000000000001,4.226666666666667,4.19,109.0,102.0,"['0-0', '1-0', '1-1', '3-1', '3-2', '7-2', '3-2', '6-2', '7-2']","['0-0', '0-1', '0-2']",2,0,2,0,0,1,0,0,0,0,0,1
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,4,5,7-5,0.2503333333333333,0.2635,0.478,0.47725,0.8083333333333332,0.8230000000000001,115.33333333333331,121.25,1.454,1.304,4.486666666666667,4.44,120.0,123.0,"['0-0', '0-1', '0-2']","['0-0', '0-1', '0-2', '1-2']",0,0,0,0,0,0,0,0,0,0,0,0
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,5,6,7-5,0.28,0.2475,0.4603333333333333,0.42675,0.8196666666666665,0.73375,120.0,97.5,1.4076666666666666,1.1,4.683333333333334,3.13,136.0,77.0,"['0-0', '0-1', '0-2']","['0-0', '1-0', '1-1', '1-2']",0,0,0,0,0,0,1,0,0,0,0,0
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,6,7,7-5,0.26899999999999996,0.26875,0.4685,0.46399999999999997,0.805125,0.79925,114.75,116.0,1.26825,1.2990000000000002,3.5575,4.76,103.0,115.0,"['0-0', '1-0', '5-0', '3-0', '7-0', '7-1', '7-2', '5-2']","['0-0', '0-1', '1-1', '1-2']",3,0,3,0,0,1,0,1,0,0,0,1
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,7,8,10-5,0.276,0.24825,0.4903333333333333,0.46075,0.8410000000000001,0.782,125.0,109.0,1.381,1.1,4.1099999999999985,3.15,133.0,90.0,"['0-0', '0-1', '0-2']","['0-0', '0-1', '0-2', '2-2']",0,0,0,0,0,0,0,0,0,0,0,0
0,Minnesota Twins/Chicago White Sox,2020-07-24,4.0,7.0,0.6,0.583,0.017000000000000015,3.0,8,9,10-5,0.26233333333333336,0.266,0.47200000000000003,0.41700000000000004,0.7946666666666667,0.7290000000000001,111.66666666666669,96.66666666666669,0.887,1.1,1.5200000000000002,3.15,107.0,111.0,"['0-0', '0-1', '0-2']","['0-0', '0-1', '0-2']",0,0,0,0,0,0,0,0,0,0,0,0
0,Detroit Tigers/Cincinnati Reds,2020-07-24,28.0,14.0,0.397,0.517,0.12,14.0,9,1,0-0,0.2752,0.25649999999999995,0.4802000000000001,0.443,0.8198000000000001,0.769,119.0,102.875,1.22,1.3330000000000002,3.54,5.08,111.0,82.0,"['0-0', '0-1', '1-1', '2-1', '3-1']","['0-0', '1-0', '3-0', '7-0', '7-0', '7-0', '7-1', '7-2']",0,2,-2,0,0,0,1,0,1,0,0,1
